净值日期,单位净值,日增长率
2018-05-21,4.1534,0.0434
2018-05-22,4.1966,1.0401
2018-05-23,4.1392,-1.3678
2018-05-24,4.125,-0.3431
2018-05-25,4.1609,0.8703
2018-05-28,4.2366,1.8193
2018-05-29,4.1609,-1.7868
2018-05-30,4.1401,-0.4999
2018-05-31,4.2716,3.1763
2018-06-01,4.2142,-1.3438
2018-06-04,4.3094,2.259
2018-06-05,4.3632,1.2484
2018-06-06,4.3756,0.2842
2018-06-07,4.3273,-1.1038
2018-06-08,4.321,-0.1456
2018-06-11,4.2958,-0.5832
2018-06-12,4.4038,2.5141
2018-06-13,4.3705,-0.7562
2018-06-14,4.326,-1.0182
2018-06-15,4.3119,-0.3259
2018-06-19,4.2222,-2.0803
2018-06-20,4.2717,1.1724
2018-06-21,4.2499,-0.5103
2018-06-22,4.2558,0.1388
2018-06-25,4.2823,0.6227
2018-06-26,4.2228,-1.3894
2018-06-27,4.0846,-3.2727
2018-06-28,3.9887,-2.3478
2018-06-29,4.1011,2.818
2018-06-30,4.1009,0.0
2018-07-02,4.0223,-1.9214
2018-07-03,3.951,-1.7726
2018-07-04,3.933,-0.4556
2018-07-05,3.9216,-0.2899
2018-07-06,3.9403,0.4768
2018-07-09,4.0742,3.3982
2018-07-10,4.0925,0.4492
2018-07-11,4.0414,-1.2486
2018-07-12,4.1171,1.8731
2018-07-13,4.1757,1.4233
2018-07-16,4.1888,0.3137
2018-07-17,4.1341,-1.3059
2018-07-18,4.1103,-0.5757
2018-07-19,4.0857,-0.5985
2018-07-20,4.1171,0.7685
2018-07-23,4.0621,-1.3359
2018-07-24,4.1264,1.5829
2018-07-25,4.176,1.202
2018-07-26,4.1317,-1.0608
2018-07-27,4.104,-0.6704
2018-07-30,4.0557,-1.1769
2018-07-31,4.0566,0.0222
2018-08-01,3.9877,-1.6985
2018-08-02,3.924,-1.5974
2018-08-03,3.8047,-3.0403
2018-08-06,3.7146,-2.3681
2018-08-07,3.8043,2.4148
2018-08-08,3.7166,-2.3053
2018-08-09,3.8418,3.3687
2018-08-10,3.8784,0.9527
2018-08-13,3.8737,-0.1212
2018-08-14,3.8481,-0.6609
2018-08-15,3.7428,-2.7364
2018-08-16,3.6849,-1.547
2018-08-17,3.6163,-1.8617
2018-08-20,3.6156,-0.0194
2018-08-21,3.7509,3.7421
2018-08-22,3.7116,-1.0477
2018-08-23,3.7091,-0.0674
2018-08-24,3.6998,-0.2507
2018-08-27,3.8504,4.0705
2018-08-28,3.808,-1.1012
2018-08-29,3.7773,-0.8062
2018-08-30,3.7494,-0.7386
2018-08-31,3.6765,-1.9443
2018-09-03,3.6762,-0.0082
2018-09-04,3.6919,0.4271
2018-09-05,3.621,-1.9204
2018-09-06,3.5656,-1.53
2018-09-07,3.5927,0.76
2018-09-10,3.5685,-0.6736
2018-09-11,3.5858,0.4848
2018-09-12,3.5346,-1.4279
2018-09-13,3.5345,-0.0028
2018-09-14,3.5699,1.0016
2018-09-17,3.5412,-0.8039
2018-09-18,3.6069,1.8553
2018-09-19,3.7019,2.6338
2018-09-20,3.7083,0.1729
2018-09-21,3.8099,2.7398
2018-09-25,3.7739,-0.9449
2018-09-26,3.8457,1.9025
2018-09-27,3.8679,0.5773
2018-09-28,3.8924,0.6334
2018-10-08,3.7037,-4.8479
2018-10-09,3.6987,-0.135
2018-10-10,3.6256,-1.9764
2018-10-11,3.5025,-3.3953
2018-10-12,3.5819,2.267
2018-10-15,3.5097,-2.0157
2018-10-16,3.4902,-0.5556
2018-10-17,3.4845,-0.1633
2018-10-18,3.402,-2.3676
2018-10-19,3.5106,3.1922
2018-10-22,3.6704,4.5519
2018-10-23,3.5167,-4.1876
2018-10-24,3.4395,-2.1952
2018-10-25,3.3649,-2.1689
2018-10-26,3.3214,-1.2928
2018-10-29,3.1189,-6.0968
2018-10-30,3.1137,-0.1667
2018-10-31,3.2128,3.1827
2018-11-01,3.268,1.7181
2018-11-02,3.4854,6.6524
2018-11-05,3.4172,-1.9567
2018-11-06,3.3798,-1.0945
2018-11-07,3.3587,-0.6243
2018-11-08,3.343,-0.4674
2018-11-09,3.3063,-1.0978
2018-11-12,3.3412,1.0556
2018-11-13,3.4059,1.9364
2018-11-14,3.3684,-1.101
2018-11-15,3.3937,0.7511
2018-11-16,3.4131,0.5716
2018-11-19,3.4506,1.0987
2018-11-20,3.3768,-2.1388
2018-11-21,3.4173,1.1994
2018-11-22,3.4158,-0.0439
2018-11-23,3.3506,-1.9088
2018-11-26,3.3509,0.009
2018-11-27,3.3278,-0.6894
2018-11-28,3.3782,1.5145
2018-11-29,3.3417,-1.0805
2018-11-30,3.4071,1.9571
2018-12-03,3.5544,4.3233
2018-12-04,3.5604,0.1688
2018-12-05,3.5602,-0.0056
2018-12-06,3.4591,-2.8397
2018-12-07,3.4469,-0.3527
2018-12-10,3.407,-1.1576
2018-12-11,3.4324,0.7455
2018-12-12,3.4482,0.4603
2018-12-13,3.5346,2.5057
2018-12-14,3.4572,-2.1898
2018-12-17,3.4287,-0.8244
2018-12-18,3.4005,-0.8225
2018-12-19,3.3495,-1.4998
2018-12-20,3.3375,-0.3583
2018-12-21,3.2773,-1.8037
2018-12-24,3.3081,0.9398
2018-12-25,3.303,-0.1542
2018-12-26,3.2879,-0.4572
2018-12-27,3.2806,-0.222
2018-12-28,3.3001,0.5944
2018-12-31,3.2997,0.0
2019-01-02,3.2284,-2.1727
2019-01-03,3.1799,-1.5023
2019-01-04,3.2376,1.8145
2019-01-07,3.2517,0.4355
2019-01-08,3.2564,0.1445
2019-01-09,3.3129,1.735
2019-01-10,3.2964,-0.4981
2019-01-11,3.3187,0.6765
2019-01-14,3.2627,-1.6874
2019-01-15,3.3908,3.9262
2019-01-16,3.3873,-0.1032
2019-01-17,3.3821,-0.1535
2019-01-18,3.4666,2.4984
2019-01-21,3.5055,1.1221
2019-01-22,3.4424,-1.8
2019-01-23,3.4282,-0.4125
2019-01-24,3.449,0.6067
2019-01-25,3.4849,1.0409
2019-01-28,3.5108,0.7432
2019-01-29,3.5223,0.3276
2019-01-30,3.4697,-1.4933
2019-01-31,3.5223,1.516
2019-02-01,3.5863,1.817
2019-02-11,3.7067,3.3572
2019-02-12,3.726,0.5207
2019-02-13,3.779,1.4224
2019-02-14,3.8257,1.2358
2019-02-15,3.7425,-2.1748
2019-02-18,3.8485,2.8323
2019-02-19,3.8304,-0.4703
2019-02-20,3.8407,0.2689
2019-02-21,3.8344,-0.164
2019-02-22,3.872,0.9806
2019-02-25,4.0001,3.3084
2019-02-26,3.9399,-1.505
2019-02-27,3.9343,-0.1421
2019-02-28,3.9717,0.9506
2019-03-01,4.0904,2.9886
2019-03-04,4.1256,0.8606
2019-03-05,4.1179,-0.1866
2019-03-06,4.0916,-0.6387
2019-03-07,3.9919,-2.4367
2019-03-08,3.904,-2.202
2019-03-11,4.0207,2.9892
2019-03-12,4.0057,-0.3731
2019-03-13,4.01,0.1073
2019-03-14,4.0348,0.6185
2019-03-15,4.1186,2.0769
2019-03-18,4.3018,4.4481
2019-03-19,4.265,-0.8555
2019-03-20,4.2647,-0.007
2019-03-21,4.2334,-0.7339
2019-03-22,4.2626,0.6898
2019-03-25,4.1471,-2.7096
2019-03-26,4.1502,0.0748
2019-03-27,4.2441,2.2625
2019-03-28,4.2945,1.1875
2019-03-29,4.4598,3.8491
2019-04-01,4.5365,1.7198
2019-04-02,4.4973,-0.8641
2019-04-03,4.4972,-0.0022
2019-04-04,4.5598,1.392
2019-04-08,4.5696,0.2149
2019-04-09,4.6525,1.8142
2019-04-10,4.7124,1.2875
2019-04-11,4.5515,-3.4144
2019-04-12,4.531,-0.4504
2019-04-15,4.4915,-0.8718
2019-04-16,4.5817,2.0082
2019-04-17,4.5993,0.3841
2019-04-18,4.5927,-0.1435
2019-04-19,4.6534,1.3217
2019-04-22,4.6083,-0.9692
2019-04-23,4.6608,1.1392
2019-04-24,4.6365,-0.5214
2019-04-25,4.5631,-1.5831
2019-04-26,4.5418,-0.4668
2019-04-29,4.6259,1.8517
2019-04-30,4.6503,0.5275
2019-05-06,4.3875,-5.6512
2019-05-07,4.4974,2.5048
2019-05-08,4.441,-1.2541
2019-05-09,4.3081,-2.9926
2019-05-10,4.5168,4.8444
2019-05-13,4.4739,-0.9498
2019-05-14,4.4338,-0.8963
2019-05-15,4.6174,4.1409
2019-05-16,4.6727,1.1976
2019-05-17,4.5614,-2.3819
2019-05-20,4.494,-1.4776
2019-05-21,4.545,1.1348
2019-05-22,4.5149,-0.6623
2019-05-23,4.4245,-2.0023
2019-05-24,4.4399,0.3481
2019-05-27,4.4582,0.4122
2019-05-28,4.5115,1.1955
2019-05-29,4.4945,-0.3768
2019-05-30,4.4709,-0.5251
2019-05-31,4.4533,-0.3937
2019-06-03,4.4589,0.1257
2019-06-04,4.3797,-1.7762
2019-06-05,4.3489,-0.7032
2019-06-06,4.3111,-0.8692
2019-06-10,4.4101,2.2964
2019-06-11,4.5774,3.7936
2019-06-12,4.5442,-0.7253
2019-06-13,4.5256,-0.4093
2019-06-14,4.514,-0.2563
2019-06-17,4.498,-0.3545
2019-06-18,4.5369,0.8648
2019-06-19,4.6027,1.4503
2019-06-20,4.7574,3.3611
2019-06-21,4.7648,0.1555
2019-06-24,4.8202,1.1627
2019-06-25,4.8192,-0.0207
2019-06-26,4.825,0.1204
2019-06-27,4.9296,2.1679
2019-06-28,4.9686,0.7911
2019-06-30,4.9682,0.0
2019-07-01,5.1612,3.8763
2019-07-02,5.1733,0.2344
2019-07-03,5.0611,-2.1688
2019-07-04,4.9742,-1.717
2019-07-05,5.1007,2.5431
2019-07-08,5.0104,-1.7703
2019-07-09,5.0096,-0.016
2019-07-10,5.0236,0.2795
2019-07-11,5.0008,-0.4539
2019-07-12,5.0722,1.4278
2019-07-15,5.0389,-0.6565
2019-07-16,4.9695,-1.3773
2019-07-17,4.9531,-0.33
2019-07-18,4.8942,-1.1892
2019-07-19,4.9366,0.8663
2019-07-22,4.9345,-0.0425
2019-07-23,4.896,-0.7802
2019-07-24,4.9138,0.3636
2019-07-25,4.9423,0.58
2019-07-26,4.9665,0.4897
2019-07-29,4.981,0.292
2019-07-30,4.9645,-0.3313
2019-07-31,4.9071,-1.1562
2019-08-01,4.8659,-0.8396
2019-08-02,4.8195,-0.9536
2019-08-05,4.7293,-1.8716
2019-08-06,4.735,0.1205
2019-08-07,4.7436,0.1816
2019-08-08,4.8182,1.5726
2019-08-09,4.7775,-0.8447
2019-08-12,4.9069,2.7085
2019-08-13,4.8981,-0.1793
2019-08-14,4.9679,1.425
